Time,Latitude
-4.58709169814855e+002,8.99685285210278e+001
-4.53708576602454e+002,7.99317493521496e+001
-4.52474445034188e+002,6.34155921196416e+001
-4.48070685940866e+002,3.03825283336976e+001
-4.43265665490649e+002,3.24712604202442e+001
-4.39027131661931e+002,6.96821630397452e+001
-4.34394080364670e+002,8.24329826095101e+001
-4.29676730463018e+002,8.99572887071092e+001
-3.74518467638702e+002,9.01449935995504e+001
-3.64395891223579e+002,6.25452558618752e+001
-3.59449249117987e+002,5.58534453151831e+001
-3.47731743107809e+002,4.93680726841300e+001
-3.38920852976990e+002,4.30928845733554e+001
-3.34061881419963e+002,4.18366480377158e+001
-3.28380155484093e+002,4.95696400137376e+001
-3.23500952262013e+002,4.70590402447782e+001
-3.19579381185800e+002,4.39216335196228e+001
-3.13756033594555e+002,4.28740828624059e+001
-3.08913921758406e+002,4.26631490211995e+001
-3.03994255206219e+002,3.76438227856005e+001
-2.98191139280027e+002,3.78506353617035e+001
-2.93335539667177e+002,3.68034593649505e+001
-2.88692372537388e+002,4.89270973180555e+001
-2.83931187361454e+002,5.37336164101283e+001
-2.79112679134534e+002,5.49861063411283e+001
-2.75285522495239e+002,5.77023947047988e+001
-2.71650566673952e+002,7.23351337850073e+001
-2.69468918792344e+002,5.70729651253551e+001
-2.64653782509601e+002,5.85345155952418e+001
-2.58793343532424e+002,5.51872990102719e+001
-2.53286958693684e+002,7.37914390083986e+001
-2.50643354460021e+002,8.98879765212776e+001
-5.03195229323426e+001,8.98104218052390e+001
-4.43646695182491e+001,8.06095101314434e+001
-4.03351962284180e+001,7.07821661619158e+001
-3.54795966155672e+001,6.97349901651628e+001
-3.05430703425021e+001,6.36703612351307e+001
-2.47365824721346e+001,6.36681132723469e+001
-1.98270317524743e+001,5.92759686534078e+001
-1.52007243435636e+001,7.24449093009460e+001
-1.01866433544600e+001,6.15718879765213e+001
-4.32957632145860e+000,5.84337319304380e+001
-3.14939586000185e+000,4.52625433201161e+001
-1.58481376252780e-001,3.98258453276718e+001
